table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
.Randolph County, Arkansas,"18,595","18,839","18,852","18,907"
.St. Francis County, Arkansas,"23,021","22,715","22,402","22,101"
.Saline County, Arkansas,"123,826","125,382","127,415","129,574"
.Scott County, Arkansas,"9,834","9,795","9,796","9,851"
.Searcy County, Arkansas,"7,840","7,893","7,906","7,806"
.Sebastian County, Arkansas,"127,808","128,342","129,109","129,098"
.Sevier County, Arkansas,"15,778","15,714","15,738","15,632"
.Sharp County, Arkansas,"17,314","17,691","17,836","17,968"
.Stone County, Arkansas,"12,349","12,441","12,585","12,671"
.Union County, Arkansas,"38,931","38,375","37,813","37,397"
.Van Buren County, Arkansas,"15,799","15,777","16,103","16,142"
.Washington County, Arkansas,"246,774","251,767","256,682","261,549"
.White County, Arkansas,"76,860","77,109","77,616","78,452"
.Woodruff County, Arkansas,"6,224","6,146","6,057","5,964"
.Yell County, Arkansas,"20,212","20,135","20,091","20,044"
.Alameda County, California,"1,680,466","1,644,047","1,628,259","1,622,188"
.Alpine County, California,"1,205","1,229","1,190","1,141"
.Amador County, California,"40,525","41,228","41,493","41,811"
.Butte County, California,"210,151","206,336","207,369","207,172"
.Calaveras County, California,"45,348","46,249","46,556","46,565"
.Colusa County, California,"21,864","21,919","21,909","22,037"
.Contra Costa County, California,"1,166,069","1,163,941","1,157,019","1,155,025"
.Del Norte County, California,"27,604","27,584","27,112","26,589"
.El Dorado County, California,"191,245","193,704","192,787","192,215"
.Fresno County, California,"1,009,552","1,013,103","1,015,359","1,017,162"
.Glenn County, California,"28,904","28,718","28,360","28,129"
.Humboldt County, California,"136,262","134,897","134,944","133,985"
.Imperial County, California,"179,612","179,138","178,940","179,057"
.Inyo County, California,"18,987","18,924","18,742","18,527"
.Kern County, California,"905,910","912,709","916,751","913,820"
.Kings County, California,"152,844","152,775","152,987","152,682"
.Lake County, California,"68,199","68,645","68,172","67,878"
.Lassen County, California,"32,315","31,885","30,020","28,861"
.Los Angeles County, California,"9,992,813","9,809,462","9,719,765","9,663,345"
.Madera County, California,"156,345","158,966","160,329","162,858"
.Marin County, California,"261,306","259,278","256,154","254,407"
.Mariposa County, California,"17,119","17,127","17,053","16,919"
.Mendocino County, California,"91,367","91,321","90,007","89,108"
.Merced County, California,"281,830","284,610","290,210","291,920"
.Modoc County, California,"8,681","8,641","8,619","8,500"
.Mono County, California,"13,228","13,271","13,002","13,066"
.Monterey County, California,"438,322","437,158","432,884","430,723"
.Napa County, California,"137,459","136,265","134,370","133,216"
.Nevada County, California,"102,265","103,517","102,401","102,037"
.Orange County, California,"3,185,734","3,160,611","3,150,372","3,135,755"
.Placer County, California,"405,927","413,047","418,074","423,561"
.Plumas County, California,"19,746","19,958","19,443","19,131"
.Riverside County, California,"2,422,993","2,453,399","2,474,241","2,492,442"
.Sacramento County, California,"1,586,566","1,588,810","1,584,380","1,584,288"
.San Benito County, California,"64,530","66,709","67,643","68,175"
.San Bernardino County, California,"2,183,391","2,193,087","2,194,908","2,195,611"
.San Diego County, California,"3,295,298","3,274,432","3,277,176","3,269,973"
